OTU 1	OTU 2	corr	pval
EU45430511430	DQ45617811436	-0.25826905624	0.0
EU45430511430	GQ49147811372	-0.251552346431	0.0
EU45430511430	GQ44825611427	0.321074636211	0.0
EU45430511430	DQ45615511438	-0.259210735407	0.0
EU45430511430	GQ17539111436	-0.287881000129	0.0
JQ24810611504	DQ45588211463	0.272701918021	0.0
JQ24810611504	DQ45634211453	0.316532159789	0.0
JQ24810611504	AY98530011345	0.280700341328	0.0
JQ24810611504	DQ05740111386	0.258676919985	0.0
JQ24810611504	GQ44805211379	0.350342924403	0.0
JQ24810611504	DQ45623011471	0.347340858348	0.0
DQ45588211463	DQ79350611384	0.261811471906	0.0
DQ45588211463	DQ45635711475	0.378544156545	0.0
DQ45588211463	DQ45634211453	0.724938409535	0.0
KF84205511421	GQ49322611380	-0.386832442094	0.0
KF84205511421	HQ76512011450	0.286015421331	0.0
KF84205511421	JNHK01000015152778154288	-0.501661252492	0.0
KF84205511421	JQ18364811359	0.311223418185	0.0
KF84205511421	DQ05741111426	-0.261406854712	0.0
KF84205511421	HQ80431011461	0.423149403062	0.0
KF84205511421	KF84331011418	0.700344804062	0.0
KF84205511421	KF84213511408	0.441852412865	0.0
KF84205511421	KF84206311425	-0.560185941558	0.0
KF84205511421	JN62021211429	-0.272982974556	0.0
KF84205511421	GQ49147811372	0.391577459971	0.0
KF84205511421	HQ79430911447	0.354409544849	0.0
KF84205511421	EU45549311432	-0.308344573988	0.0
KF84205511421	KC56110911508	-0.314644604056	0.0
KF84205511421	EU76701811359	0.339086784129	0.0
KF84205511421	GQ44825611427	-0.347029116107	0.0
KF84205511421	JQ47333711437	0.399169328558	0.0
AF24316411511	KF84331011418	0.419176524147	0.0
AF24316411511	GQ49147811372	0.262428573999	0.0
DQ05738911363	GQ17551511424	0.264795717322	0.0
FJ37172311340	AY98530011345	0.383901586516	0.0
GQ49322611380	JNHK01000015152778154288	0.486650618291	0.0
GQ49322611380	HQ80431011461	-0.272932463505	0.0
GQ49322611380	KF84331011418	-0.385460385024	0.0
GQ49322611380	KF84206311425	0.504626642082	0.0
GQ49322611380	GQ49147811372	-0.250162464203	0.0
DQ45617811436	HQ76512011450	0.252028965409	0.0
DQ45617811436	JNHK01000015152778154288	-0.276054077889	0.0
DQ45617811436	FN66742411495	0.4521144071	0.0
DQ45617811436	DQ05738811392	0.275821247219	0.0
DQ45617811436	AY44512711522	0.331560085513	0.0
DQ45617811436	DQ45643111440	0.343647869742	0.0
DQ45617811436	HQ80431011461	0.386868728814	0.0
DQ45617811436	KF84331011418	0.337206277893	0.0
DQ45617811436	KF84206311425	-0.289857253831	0.0
DQ45617811436	AF37622711338	0.41994603677	0.0
DQ45617811436	DQ45584511443	0.437197399338	0.0
DQ45617811436	DQ05739311386	0.345298601264	0.0
DQ45617811436	GQ17551511424	0.314862375448	0.0
DQ45617811436	AB61613411495	0.398692138551	0.0
DQ45617811436	GQ49147811372	0.44477589078	0.0
DQ45617811436	HQ79430911447	0.34697582041	0.0
DQ45617811436	JQ24809511513	0.332976262018	0.0
DQ45617811436	AY98530011345	0.317434117408	0.0
DQ45617811436	EU77897411385	0.264732113008	0.0
DQ45617811436	DQ05738311395	0.285502369884	0.0
DQ45617811436	GQ07075411388	0.427238813306	0.0
DQ45617811436	DQ45625811441	0.352618791933	0.0
DQ45617811436	KC56110911508	-0.493990442692	0.0
DQ45617811436	EU76701811359	0.376121407716	0.0
DQ45617811436	DQ45582411440	0.497186214572	0.0
DQ45617811436	DQ45615511438	0.646822848957	0.0
DQ45617811436	GQ17539111436	0.701273961286	0.0
DQ45617811436	DQ05741311447	0.472465710985	0.0
DQ45617811436	DQ80650611388	0.255372158326	0.0
HQ78083211450	FN66742411495	0.254957286029	0.0
HQ78083211450	HQ80431011461	0.296762700273	0.0
HQ78083211450	KF84331011418	0.252380414694	0.0
HQ78083211450	DQ45597511444	0.299093758688	0.0
HQ78083211450	GQ49147811372	0.353746802297	0.0
HQ78083211450	HQ79430911447	0.266501875335	0.0
