OTU 1	OTU 2	corr	pval
DQ29815711422	AB16738611520	0.580866282743	0.0
AF37621811334	FJ36764711360	0.264428286749	0.0
EF09739311391	AB96934011560	0.272643840962	0.0
EF02523711454	GQ13429611391	-0.305275696714	0.0
EF02523711454	FJ36764711360	0.250973306946	0.0
EF02523711454	GQ87172211492	-0.278652294868	0.0
EF02523711454	DQ05738511392	0.39633373488	0.0
EF02523711454	DQ05738811392	0.323422057693	0.0
EF02523711454	FJ36829211361	0.373890739895	0.0
EF02523711454	DQ05737011396	0.271873758904	0.0
AY91633611350	AY97565611358	-0.279690967584	0.0
HQ71619011541	DQ05745611454	0.256443005398	0.0
HQ71619011541	GQ17538811442	0.302475916441	0.0
HQ71619011541	DQ79841511386	0.288479175782	0.0
DQ05739311386	HQ81505411440	0.302982865333	0.0
DQ05739311386	AB61613411495	0.436291836408	0.0
DQ05739311386	FJ95186611493	-0.25731645258	0.01
GQ44811711366	GQ13580011410	0.382132178279	0.0
GQ44811711366	GQ44839911388	0.331494040458	0.0
GQ44811711366	GQ44873311364	0.315414558904	0.0
GQ44811711366	FJ95185211506	0.361920641453	0.0
GQ44811711366	GQ44839811370	0.305633310599	0.0
GQ44811711366	KF84287811374	0.276964103858	0.0
GQ44811711366	FJ95186611493	0.423580211612	0.0
GQ44811711366	EU77806011374	0.325379053165	0.0
GQ44811711366	FJ95185711509	0.419319311833	0.0
GQ44811711366	GQ35826111382	0.370213775234	0.0
KC24535711440	GQ44847111385	0.29358676084	0.0
KC24535711440	DQ39430011511	0.531719862979	0.0
KC24535711440	ABGD0200002118683380	0.254372237823	0.0
KC24535711440	AY97710111346	0.404450241011	0.0
KC24535711440	DQ45632411450	0.335474361716	0.0
KC24535711440	DQ45597511444	-0.253616488101	0.0
KC24535711440	DQ45586611451	0.284793234804	0.0
KC24535711440	DQ05742211460	-0.363207074619	0.0
KC24535711440	DQ45584011446	-0.296141473618	0.0
KC24535711440	GQ17537511452	0.320192208673	0.0
KC24535711440	DQ67351711492	0.38825761476	0.0
KC24535711440	DQ45640011420	-0.292670834994	0.0
KC24535711440	HK55573211481	0.528891187988	0.0
KC24535711440	DQ05745611454	0.273170654804	0.0
KC24535711440	GQ49183811382	0.328760812177	0.0
KC24535711440	DQ39466711517	-0.294061656101	0.0
KC24535711440	DQ79402011385	0.300477561883	0.0
KC24535711440	DQ45646011452	0.264992642018	0.0
KC24535711440	EF02525411454	-0.251208543003	0.0
KC24535711440	DQ05737011396	0.379161621753	0.0
KC24535711440	DI24818111263	0.280441394952	0.0
KC24535711440	JQ60788011424	0.252284607664	0.0
KC24535711440	JQ24810811597	-0.272611460185	0.0
KC24535711440	GQ44920911355	0.329614435464	0.0
KC24535711440	GU12817511435	0.288345029151	0.0
KC24535711440	AF37622111337	-0.287874486173	0.0
KC24535711440	AF37620111336	-0.262014436267	0.0
KC24535711440	DQ45634211453	-0.388597056019	0.0
KC24535711440	AF37182211427	-0.286905691572	0.0
GQ17545811439	HQ81505411440	0.305972366085	0.0
GQ17545811439	JQ24809611505	0.397585452887	0.0
GQ17545811439	HQ79289311443	0.377324623796	0.0
GQ17545811439	DQ79373911403	0.279332425132	0.0
GQ17545811439	DQ79419311383	0.336596833933	0.0
GQ17545811439	JN68197811422	0.270200073252	0.0
GQ17545811439	AB96934011560	-0.258068446254	0.0
GQ17545811439	DQ45615511438	0.414356353424	0.0
GQ17545811439	GQ17538811442	0.424433533495	0.0
GQ17545811439	GQ17549111448	0.331819484743	0.0
GQ17545811439	DQ45615311554	0.284792678217	0.0
GQ17545811439	DQ79841511386	0.259506382212	0.0
GQ17545811439	FJ95188911475	0.310330549234	0.0
HQ74730611433	DQ05742211460	-0.288351279036	0.0
GQ49203611335	JQ24810811597	-0.278758677903	0.0
GQ49203611335	AF37620111336	-0.288105415776	0.0
DQ05746611455	AF37622011331	0.254608454357	0.0
DQ05746611455	DQ05737011396	0.285092701903	0.0
HQ78792411444	DQ45632411450	0.25320819784	0.0
HQ78792411444	KC81283111454	0.274005426976	0.0
DQ45636211442	HQ81505411440	0.261030058809	0.0
DQ45636211442	HQ77849311466	-0.280944085328	0.0
DQ45636211442	JQ24809611505	0.313806168142	0.0
DQ45636211442	DQ45615511438	0.374312880218	0.0
DQ45636211442	AF37620911416	0.315527286549	0.0
JN55961611500	GU30412911496	0.297626629599	0.0
GU30412911496	HQ77849311466	-0.252980379969	0.0
GU30412911496	HQ77291711452	0.262969120151	0.0
GU30412911496	KF84353711361	0.3010036245	0.0
GU30412911496	KF84359811346	0.325080851341	0.0
GQ13580011410	GQ44839911388	0.312106117408	0.0
GQ13580011410	GQ13429611391	0.381122688072	0.0
GQ13580011410	GQ44873311364	0.272982590642	0.0
GQ13580011410	DQ45640011420	0.259270786986	0.0
GQ13580011410	EU00985511492	-0.294903559043	0.0
GQ13580011410	GQ87172211492	0.258272718553	0.0
GQ13580011410	FJ95185211506	0.454056047469	0.0
GQ13580011410	GQ44839811370	0.298241414711	0.0
GQ13580011410	AB61613411495	-0.287016106953	0.0
GQ13580011410	KF84287811374	0.252148970692	0.0
GQ13580011410	FJ95186611493	0.49543640026	0.0
GQ13580011410	EU77806011374	0.331069693438	0.0
GQ13580011410	FJ95185711509	0.426094370401	0.0
GQ13580011410	FJ95188911475	0.411550282593	0.0
GQ13580011410	GQ35826111382	0.379745598938	0.0
FJ95059611475	GQ22240311443	0.252421286493	0.0
FJ95059611475	FN66779811396	0.293059011322	0.0
DQ05736411393	HQ81505411440	0.369037984365	0.0
DQ05736411393	HQ77291711452	-0.261889411522	0.0
EU38171611530	JX21864911495	0.311204228949	0.0
GQ17542511467	DQ45631611437	0.667180590079	0.0
GQ44839911388	GQ44873311364	0.35723921453	0.0
GQ44839911388	FJ95186611493	0.340524731551	0.0
GQ44839911388	EU77806011374	0.293464478488	0.0
