#OTU ID	SRR2668386	SRR2666966	SRR2666951	SRR2666430	SRR2666998	SRR2666992	SRR2666999	SRR2667424	SRR2666957	SRR2666996	SRR2668685	SRR2666955	SRR2666952	SRR2666949	SRR2667002	SRR2666948	SRR2666944	SRR2666429	SRR2666950	SRR2668394	SRR2666993	SRR2666962	SRR2668385	SRR2666431	SRR2666900	SRR2666954	SRR2666960	SRR2666943	SRR2668706	SRR2668785	SRR2668789	SRR2668681	SRR2668790	SRR2668794	SRR2666995	SRR2666428	SRR2668389	SRR2666989	SRR2666946	SRR2668393	SRR2668388	SRR2668683	SRR2668384	SRR2668686	SRR2667003	SRR2668783	SRR2668788	SRR2668787	SRR2668807	SRR2667186	SRR2667427	SRR2668392	SRR2666953	SRR2668391	SRR2668784	SRR2667423	SRR2667123	SRR2667060	SRR2668792	SRR2666963	SRR2668811	SRR2668782	SRR2668791	SRR2668812	SRR2668682	SRR2666965	SRR2667421	SRR2666945	SRR2667425	SRR2668684	SRR2668813	SRR2668786	SRR2667426	SRR2667422	SRR2667428	SRR2667004	SRR2668383	SRR2668395	SRR2668390	SRR2666959	SRR2668396	SRR2667000	SRR2666991	SRR2668387
JQ248106.1.1504	25.0	2.0	4.0	0.0	1.0	7.0	4.0	0.0	3.0	6.0	1.0	3.0	1.0	3.0	3.0	5.0	23.0	0.0	2.0	1.0	2.0	4.0	41.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	2.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ798774.1.1391	0.0	0.0	2.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	3.0	0.0	15.0	94.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ133314.1.1390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	3.0	4.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ077026.1.1351	6.0	6.0	3.0	84.0	0.0	1.0	2.0	4.0	0.0	11.0	2.0	3.0	5.0	0.0	7.0	2.0	6.0	3.0	5.0	0.0	15.0	11.0	1.0	84.0	460.0	0.0	6.0	326.0	6.0	20.0	19.0	4.0	0.0	8.0	6.0	65.0	0.0	1.0	20.0	0.0	0.0	8.0	7.0	4.0	2.0	8.0	2.0	4.0	3.0	3.0	23.0	1.0	4.0	3.0	3.0	2.0	6.0	2.0	5.0	11.0	12.0	3.0	2.0	4.0	4.0	27.0	3.0	2.0	5.0	6.0	3.0	3.0	0.0	1.0	3.0	4.0	4.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0
DQ071452.1.1471	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0
FN563300.1.1447	37.0	118.0	210.0	106.0	99.0	19.0	159.0	22.0	103.0	336.0	18.0	54.0	125.0	121.0	128.0	156.0	29.0	12.0	136.0	12.0	26.0	112.0	151.0	129.0	429.0	8.0	62.0	378.0	12.0	90.0	23.0	15.0	0.0	30.0	106.0	132.0	64.0	12.0	30.0	4.0	192.0	40.0	6.0	12.0	29.0	43.0	42.0	61.0	16.0	10.0	19.0	12.0	47.0	122.0	28.0	21.0	9.0	7.0	42.0	69.0	42.0	32.0	27.0	20.0	36.0	49.0	22.0	7.0	7.0	26.0	17.0	30.0	2.0	44.0	1.0	6.0	2.0	7.0	11.0	53.0	2.0	34.0	43.0	12.0
DQ456362.1.1442	0.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	9.0	0.0	0.0	15.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	23.0	3.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
DQ793703.1.1292	189.0	24.0	35.0	19.0	165.0	5.0	29.0	23.0	318.0	69.0	27.0	45.0	29.0	29.0	69.0	36.0	67.0	3.0	36.0	5.0	26.0	38.0	47.0	78.0	15.0	19.0	31.0	1.0	20.0	91.0	36.0	14.0	3.0	33.0	94.0	7.0	25.0	6.0	11.0	12.0	49.0	25.0	2.0	14.0	26.0	33.0	35.0	53.0	10.0	0.0	2.0	2.0	29.0	116.0	24.0	8.0	0.0	19.0	21.0	10.0	48.0	14.0	11.0	10.0	31.0	53.0	2.0	7.0	1.0	26.0	9.0	33.0	0.0	13.0	7.0	1.0	0.0	2.0	1.0	1.0	0.0	8.0	5.0	0.0
AY590176.1.1372	0.0	13.0	0.0	0.0	5.0	2.0	2.0	0.0	9.0	0.0	2.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	1.0	9.0	0.0	0.0	5.0	5.0	0.0	0.0	3.0	5.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0
JN559616.1.1500	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
