OTU 1	OTU 2	corr	pval	abs
GQ86425211491	GQ44825611427	-0.471799179	0	0.471799179
GQ86425211491	GQ44892911311	-0.460382965	0	0.460382965
GU12817511435	GQ44825611427	-0.43443211	0	0.43443211
GQ17545811439	GQ44892911311	-0.42700013	0	0.42700013
GU12817511435	GQ44892911311	-0.422350097	0	0.422350097
DQ05738311395	GQ44892911311	-0.415982212	0	0.415982212
AF37622911349	GQ44825611427	-0.414072598	0	0.414072598
GQ86425211491	HM30633011392	-0.41294021	0	0.41294021
GQ17537511452	JQ47333711437	-0.409611439	0	0.409611439
GQ86425211491	KF84220311417	-0.40752049	0	0.40752049
GU12817511435	JQ47333711437	-0.388147381	0	0.388147381
FJ95069411472	GQ44825611427	-0.383853144	0	0.383853144
HQ81505411440	GQ44825611427	-0.381655925	0	0.381655925
GQ17545811439	HM30633011392	-0.381251669	0	0.381251669
GU12817511435	HM30633011392	-0.377507976	0	0.377507976
GQ17545811439	GQ44825611427	-0.377479951	0	0.377479951
HQ81505411440	GQ44892911311	-0.377209397	0	0.377209397
GQ17545811439	KF84220311417	-0.375710406	0	0.375710406
GQ86425211491	JQ47333711437	-0.370878985	0	0.370878985
AF37622911349	GQ44892911311	-0.369494026	0	0.369494026
GU12817511435	KF84220311417	-0.367391714	0	0.367391714
HQ81505411440	JQ47333711437	-0.363593304	0	0.363593304
FJ95069411472	GQ44892911311	-0.362998075	0	0.362998075
KF49452111281	HM30633011392	-0.359777178	0	0.359777178
KF49452111281	KF84220311417	-0.356525813	0	0.356525813
GQ86425211491	GQ26787611424	-0.355875614	0	0.355875614
GQ07075411388	GQ86425211491	-0.354796731	0	0.354796731
DQ45643411440	JQ47333711437	-0.353355739	0	0.353355739
GQ17545811439	JQ47333711437	-0.353331715	0	0.353331715
GQ26792111489	GQ86425211491	-0.35254814	0	0.35254814
GQ13574111431	GQ86425211491	-0.351851485	0	0.351851485
AF37622911349	KF84220311417	-0.351721961	0	0.351721961
GQ86425211491	KF84213511408	-0.349458104	0	0.349458104
GQ17550911455	GQ44892911311	-0.348209382	0	0.348209382
GQ87172811492	HM30633011392	-0.347926338	0	0.347926338
KF84205511421	GQ86425211491	-0.347730546	0	0.347730546
GQ86425211491	DQ05741111426	-0.346930429	0	0.346930429
GQ17537511452	GQ44892911311	-0.346864841	0	0.346864841
HQ78789311439	GQ44825611427	-0.344797482	0	0.344797482
KF49452111281	GQ44825611427	-0.344230473	0	0.344230473
DQ90471811469	JQ47333711437	-0.342138504	0	0.342138504
GQ87172811492	GQ44892911311	-0.341575601	0	0.341575601
AF37622911349	HM30633011392	-0.340850558	0	0.340850558
GQ17545811439	GQ13574111431	-0.338672813	0	0.338672813
GQ87172811492	KF84220311417	-0.338567564	0	0.338567564
HQ78789311439	GQ44892911311	-0.338235626	0	0.338235626
DQ45643411440	GQ44892911311	-0.336419656	0	0.336419656
GQ07075411388	AF37622911349	-0.336361697	0	0.336361697
GQ17545811439	GQ26787611424	-0.33560504	0	0.33560504
GQ17537511452	KF84220311417	-0.335041767	0	0.335041767
DQ45643411440	KF84220311417	-0.332452927	0	0.332452927
GQ44847111385	JQ47333711437	-0.332224654	0	0.332224654
GQ44847111385	GQ44892911311	-0.33117288	0	0.33117288
GQ86425211491	KC56110911508	-0.330570877	0	0.330570877
GQ07075411388	HQ78298711439	-0.328872414	0	0.328872414
GQ44825611427	HQ78298711439	-0.328147839	0	0.328147839
FJ95069411472	HM30633011392	-0.32643839	0	0.32643839
GQ17550911455	KF84220311417	-0.326373006	0	0.326373006
GQ17550911455	GQ44825611427	-0.326312577	0	0.326312577
HM83061311350	GQ44892911311	-0.325972056	0	0.325972056
GQ26792111489	GU12817511435	-0.324062682	0	0.324062682
HQ81505411440	HM30633011392	-0.32375432	0	0.32375432
GQ44825611427	GQ44825311400	-0.323442912	0	0.323442912
FJ97861911406	AB61613411495	-0.323335805	0	0.323335805
JQ24810611504	FJ95069411472	-0.323139764	0	0.323139764
GQ44847111385	GQ44825611427	-0.32258807	0	0.32258807
KF49452111281	DQ05741111426	-0.322382965	0	0.322382965
GQ17550911455	HM30633011392	-0.322374207	0	0.322374207
GU12817511435	DQ05741111426	-0.322332655	0	0.322332655
GQ17545811439	KF84213511408	-0.321150105	0	0.321150105
FJ95069411472	KF84220311417	-0.321140139	0	0.321140139
AF37620111336	JQ47333711437	-0.320586422	0	0.320586422
GQ17545811439	KC56110911508	-0.320481811	0	0.320481811
DQ05748011449	GQ44892911311	-0.320113207	0	0.320113207
GU12817511435	GQ26787611424	-0.318341473	0	0.318341473
AF37620111336	GQ44892911311	-0.316804735	0	0.316804735
GQ44825611427	FN66739211495	-0.316273976	0	0.316273976
DQ05738711394	KF84220311417	-0.316182526	0	0.316182526
GQ17545811439	DQ05741111426	-0.316016654	0	0.316016654
GU12817511435	KF84213511408	-0.315446535	0	0.315446535
HQ78298711439	GQ44892911311	-0.315429918	0	0.315429918
GQ07075411388	FN66739211495	-0.314964184	0	0.314964184
GQ87172811492	GQ44825611427	-0.314903639	0	0.314903639
HM83061311350	GQ44825611427	-0.314019721	0	0.314019721
GQ26792111489	AF37622911349	-0.31326597	0	0.31326597
GQ87172811492	JQ24809311509	-0.313197112	0	0.313197112
GQ86425211491	AB05010611404	-0.31306411	0	0.31306411
GQ17537511452	KC56110911508	-0.312700849	0	0.312700849
